query,tag
Hii,greet
Hello,greet
what is green gauge,greengauge
tell me about green gauge?,greengauge
what is in the blog section,blog
what type of blogs are there,blog
what type of articles are there?,blog
what are the tasks,task
what type of tasks are there,task
what is task,task
what type of merchandise you offer?,merchandise
what do you offer in merchandise section,merchandise
what kind of things you sell,merchandise
how do i get my report,report
how is the report made?,report
what is the purpose of green gauge?,greengauge
