response,tag
Hello and welcome,greet
Hii and welcome to Green Gauge,greet
"Green Gauge is a platform to make people aware about sustainability living practices",greengauge
"Green gauge is an integrated platform where you can complete task , read blogs and buy merchandise",greengauge
"We have blogs related to sustainable living practices ",blog
"Our blogs are all about sustainable living practices",blog
These tasks help you to attain a more sustainable life style,task
Complete the tasks to have a more sustainable life,task
"We offer a wide range of products like bamboo bottles,shoes,etc",merchandise
"We offer merchandise made of recycled and sustainable material",merchandise
"Reports are generated on base of your score",report
"Complete more tasks to get more points",report
